Назва,Номер реєстраційної справи,Дата публікації,Назва підприємства,Статус,Область,КОАТУУ,Суб’єкт господарювання,Назва справи:,Опис планованої діяльності:,Дата слухання,Період слухання,Перевіряючий орган,Юридична адреса суб’єкта господарювання:,"Область, де планується діяльність",Завантажені документи,Отримані документи,Категорія,Деталі категорії,Кількість категорій,lat,lon
"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""",20201155127,2020-01-16,,Оприлюдненно,Харківська область,Краснокутський р-н/смт Краснокутськ,Діденко Олена Олександрівна,"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""","Продовження видобування на Західно-Козіївському родовищі корисних копалин - вуглеводнів (нафта, супутні: газ, розчинений у нафті, конденсат, етан, пропан, бутани)",,,УЦО,"Київська область, Київ, Шевченківський р-н, пров. Несторівський , 3-5, 04053",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 16 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5127/reports/gg5H-B_mkw.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,50.12,35.11
"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""",20201155126,2020-01-16,,Оприлюдненно,Харківська область,"Богодухівський р-н/м.Богодухів
                                            Краснокутський р-н/смт Краснокутськ",Діденко Олена Олександрівна,"ПАТ ""Укрнафта"" НГВУ ""Охтирканафтогаз""","Продовження видобування на Качалівському родовищі корисних копалин- вуглеводнів (нафта, газ розчинений у нафті, газ природний, конденсат, супутні: етан, пропан, бутани)",,,УЦО,"Київська область, Київ , Шевченківський р-н, пров. Несторівський , 3-5, 04053",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 16 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5126/reports/8xen7oceTL.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,50.05,35.33
"ТОВ «БІТОКСІД», будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості на території м. Мерефа Харківського району Харківської області",201912205049,2019-12-23,"Товариство з обмеженою відповідальністю ""Бітоксід""",Оприлюдненно,Харківська область,Мерефа,ВАЛЕУЛІН Р.С.,"ТОВ «БІТОКСІД», будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості на території м. Мерефа Харківського району Харківської області",Будівництво виробничо-складського комплексу з виробництва сировини для хімічної промисловості,,,УТО,"Харківська область, Харків, Плеханівська, 126/1, 61037",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 23 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5049/reports/rd-AUQJhKA.pdf'}]",,2 категорія 4.1; 2 категорія 4.2,"зберігання та переробка вуглеводневої сировини (газу природного, газу сланцевих товщ, газу, розчиненого у нафті, газу центрально-басейнового типу, газу (метану) вугільних родовищ, конденсату, нафти, бітуму нафтового, скрапленого газу); поверхневе та підземне зберігання викопного палива чи продуктів їх переробки на площі 500 квадратних метрів і більше або об’ємом (для рідких або газоподібних) 15 кубічних метрів і більше;",2,49.8,36.03
"Облаштування Ракитнянського ГКР. Реконструкція установки підготовки  газу  Ракитнянського ГКР із встановленням газових генераторів. Нововодолазький район, Харківської області",201912195037,2019-12-21,,Оприлюдненно,Харківська область,Кут,Бурдейний Тарас Олександрович,"Облаштування Ракитнянського ГКР. Реконструкція установки підготовки  газу  Ракитнянського ГКР із встановленням газових генераторів. Нововодолазький район, Харківської області",Реконструкція  УПГ  Ракитнянського  ГКР  шляхом встановлення  2-х  газопоршневих електростанцій TSU-370 TJ-NG  з   підключенням їх  до власних електричних мереж.,,,УТО,"Київська область, Київ, Рилєєва, 10 а, 04073",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 21 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5037/reports/H6K39vFMuC.pdf'}]",,2 категорія 3.1,"видобування корисних копалин, крім корисних копалин місцевого значення, які видобуваються землевласниками чи землекористувачами в межах наданих їм земельних ділянок з відповідним цільовим використанням;",1,49.88,35.89
Реконструкція птахофабрики за межами населенних пунктів  на території Борківської сільскої ради Зміївського району Харківської області,201912185029,2019-12-18,Бібов Ілля Ігорович,Оприлюдненно,Харківська область,Сільради Зміївського р-ну,БІБОВ ІЛЛЯ ІГОРОВИЧ,Реконструкція птахофабрики за межами населенних пунктів  на території Борківської сільскої ради Зміївського району Харківської області,"На птахокомплексі запланована поточно-цехова технологічна схема виробництва м’яса птиці, з допоміжними  будівлями і спорудами",,,УЦО,"Харківська область, Харків, Професорська, 34, 61070",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5029/reports/FdyG4kc52u.pdf'}]",,1 категорія 19,"потужності для інтенсивного вирощування птиці (60 тисяч місць і більше), у тому числі бройлерів (85 тисяч місць і більше), свиней (3 тисячі місць для свиней понад 30 кілограмів або 900 місць для свиноматок);",1,49.76,36.1
"ТОВ «АВАНГАРДПАК»,
Переробка полімерних відходів, у тому числі побутових",201912165010,2019-12-18,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВАНГАРДПАК""",Оприлюдненно,Харківська область,Циркунівська/с.Циркуни,Тельний Андрій Олександрович,"ТОВ «АВАНГАРДПАК»,
Переробка полімерних відходів, у тому числі побутових","Переробка полімерних відходів, у тому числі побутових. Збільшення виробничої потужності до 3600 т/рік",,,УТО,"Харківська область, с. Циркуни, вул. Собона, 1Є, 62441",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5010/reports/1a0pGYeUzx.pdf'}]",,2 категорія 11.6,"утилізація, видалення, оброблення, знешкодження, захоронення побутових відходів;",1,50.07,36.37
"Продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу",201912165004,2019-12-18,"ТОВ ""ПРОЕКТНО-ЕКОЛОГІЧНИЙ КОНСАЛТИНГ""",Оприлюдненно,Харківська область,Селища міського типу Кегичівського р-ну,Личкін Дмитро Олексійович,"Продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу","Планованою діяльністю передбачається продовження діяльності функціонування ПМ «Кегичівське ПСГ» Пролетарського ВУПЗГ, де здійснюються процеси закачування, зберігання та відбору природного газу",,,УТО,"м. Київ, м.Київ, Кловський узвіз, 9/1, 01021",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/5004/reports/s4sfl9xTMY.pdf'}]",,2 категорія 4.1; 2 категорія 4.2,"зберігання та переробка вуглеводневої сировини (газу природного, газу сланцевих товщ, газу, розчиненого у нафті, газу центрально-басейнового типу, газу (метану) вугільних родовищ, конденсату, нафти, бітуму нафтового, скрапленого газу); поверхневе та підземне зберігання викопного палива чи продуктів їх переробки на площі 500 квадратних метрів і більше або об’ємом (для рідких або газоподібних) 15 кубічних метрів і більше;",2,49.32,35.78
"Акціонерне товариство ""Укргазвидобування""",20191264934,2019-12-06,,Оприлюдненно,Харківська область,Балаклійський р-н/м.Балаклія,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""","Здійснення оцінки впливу на довкілля проекту угоди про розподіл продукції (розподіл вуглеводнів, які видобуватимуться у межах ділянки надр Балаклійська).",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28;  тел.: (044) 461-25-49; 
факс: (044) 461-29-72",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 6 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4934/reports/2063afbe41c00a9beb1144c43592f4bb.pdf'}]",,,,0,,
"Акціонерне товариство ""Укргазвидобування""",20191264933,2019-12-06,,Оприлюдненно,Харківська область,Красноградський р-н/м.Красноград,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""","Здійснення оцінки впливу на довкілля проекту угоди про розподіл продукції (розподіл вуглеводнів, які видобуватимуться у межах ділянки надр Іванівська).",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28;  тел.: (044) 461-25-49; 
факс: (044) 461-29-72",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 6 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4933/reports/9d22f3c9005abcd9dc00fd23ac837df4.pdf'}]",,,,0,,
"КП «ВОВЧАНСЬК», територія Симинівської сільської ради Вовчанського району Харківської області (за межами населених пунктів)",20191224906,2019-12-02,,Оприлюдненно,Харківська область,Червоноармійське перше,Хайло Алла Вікторівна,"КП «ВОВЧАНСЬК», територія Симинівської сільської ради Вовчанського району Харківської області (за межами населених пунктів)",Будівництво комплексу з управління комунальними відходами м. Вовчанська і Вовчанського району з використанням технології утилізації звалища твердих побутових відходів шляхом біоремедіації та компостування,,,УТО,"62503, м. Вовчанськ, вул. Короленка, 
буд. 13; адреса планованої діяльності: територія Симинівської сільської ради (штучні відпрацьовані глиняні кар’єри), 0.5 км на схід від автодороги Харків-Вовчанськ, за межами населених пунктів",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 2 грудня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/fe99fb26fa623ac7e93b88767e40b274.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень (виправлено)', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/nm8T9c3slq.pdf'}, {'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 2 січня 2020', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/4906/reports/y3tXtSYc1O.pdf'}]",,,0,50.23436298989193,36.92073243887137
